id,category_id,post_id
1,1,1
2,2,2
3,1,3
4,2,4
5,2,5
6,3,6
7,4,7
8,5,8
9,4,9
10,6,10
11,2,11
12,2,12
13,2,13
14,3,14
15,6,15
16,7,16
17,3,17
18,8,18
19,3,19
20,4,20
21,2,21
22,10,22
23,1,23
24,3,24
25,5,25
26,3,26
27,7,27
28,9,28
29,1,29
30,10,30
31,8,31
32,3,32
33,7,33
34,9,34
35,7,35
36,5,36
37,5,37
38,7,38
39,1,39
40,5,40
41,6,41
42,1,42
43,9,43
44,7,44
45,3,45
46,5,46
47,5,47
48,5,48
49,5,49
50,5,50
51,5,51
52,5,52
53,5,53
54,5,54
55,5,55
56,5,56
57,5,57
58,8,58
59,8,59
60,8,60
61,8,61
62,10,62
63,10,63
64,2,64
65,2,65
66,7,66
67,9,67
68,1,68
69,1,69
70,4,70
71,3,71
72,5,72
73,5,73
74,3,74
75,10,75
76,10,76
77,4,77
78,4,78
79,4,79
80,4,80
81,2,81
82,2,82
83,4,83
84,4,84
85,5,85
86,5,86
87,9,87
88,5,88
89,5,89
90,8,90
91,8,91
92,6,92
93,7,93
94,9,94
95,9,95
96,2,96
97,1,97
98,1,98
99,1,99
100,2,100
101,2,101
102,2,102
103,2,103
104,2,104
105,2,105
106,2,106
107,2,107
108,2,108
109,2,109
110,2,110
111,2,111
112,2,112
113,2,113
114,2,114
115,7,115
116,7,116
117,7,117
118,6,118
119,6,119
120,6,120
121,4,121
122,4,122
123,10,123
124,5,124
125,5,125
126,5,126
127,9,127
128,6,128
129,6,129
130,6,130
131,8,131
132,8,132
133,8,133
134,8,134
135,8,135
136,8,136
137,8,137
138,3,138
139,3,139
140,3,140
141,3,141
142,3,142
143,3,143
144,3,144
145,6,145
146,7,146
147,1,147
148,10,148
149,8,149
150,6,150
151,5,151
152,8,152
153,10,153
154,1,154
155,4,155
156,3,156
157,7,157
158,1,158
159,8,159
160,6,160
161,5,161
162,8,162
163,10,163
164,2,164
165,8,165
166,3,166
167,9,167
168,8,168
169,1,169
170,5,170
171,5,171
172,6,172
173,6,173
174,7,174
175,1,175
176,4,176
177,5,177
178,5,178
179,8,179
180,10,180
181,8,181
182,6,182
183,5,183
184,4,184
185,8,185
186,3,186
187,10,187
188,8,188
189,5,189
190,8,190
191,2,191
192,5,192
193,4,193
194,8,194
195,9,195
196,6,196
197,9,197
198,4,198
199,9,199
200,1,200